observation_date,GCT1502AL,GCT1502AK,GCT1502AZ,GCT1502AR,GCT1502CA,GCT1502CO,GCT1502CT,GCT1502DE,GCT1502DC,GCT1502FL
2006-01-01,21.1,26.9,25.5,18.2,29.0,34.3,33.7,27.0,45.9,25.3
2007-01-01,21.4,26.0,25.3,19.3,29.5,35.0,34.7,26.1,47.5,25.8
2008-01-01,22.0,27.3,25.1,18.8,29.6,35.6,35.6,27.5,48.2,25.8
2009-01-01,22.0,26.6,25.6,18.9,29.9,35.9,35.6,28.7,48.5,25.3
2010-01-01,21.9,27.9,25.9,19.5,30.1,36.4,35.5,27.8,50.1,25.8
2011-01-01,22.3,26.4,26.6,20.3,30.3,36.7,36.2,28.8,52.5,25.8
2012-01-01,23.3,28.0,27.3,21.0,30.9,37.5,37.1,29.5,53.0,26.8
2013-01-01,23.5,28.0,27.4,20.6,31.0,37.8,37.2,29.8,55.1,27.2
2014-01-01,23.5,28.0,27.6,21.4,31.7,38.3,38.0,30.6,55.0,27.3
2015-01-01,24.2,29.7,27.7,21.8,32.3,39.2,38.3,30.9,56.7,28.4
2016-01-01,24.7,29.6,28.9,22.4,32.9,39.9,38.6,31.0,56.8,28.6
2017-01-01,25.5,28.8,29.4,23.4,33.6,41.2,38.7,31.5,57.3,29.7
2018-01-01,25.5,30.2,29.7,23.3,34.2,41.7,39.6,31.3,60.4,30.4
2019-01-01,26.3,30.2,30.2,23.3,35.0,42.7,39.8,33.2,59.7,30.7
2020-01-01,27.8,31.9,33.0,24.9,36.9,44.2,42.4,34.7,63.6,33.7
2021-01-01,27.4,32.8,32.4,25.3,36.2,44.4,42.1,35.6,63.0,33.2
2022-01-01,28.8,30.6,33.0,25.4,37.0,45.9,41.9,36.5,65.4,34.3
2023-01-01,28.9,32.2,33.5,26.2,37.5,46.4,42.9,36.5,65.9,34.9
2024-01-01,29.9,32.8,34.7,27.1,38.1,47.8,42.6,36.0,65.5,35.8
