observation_date,GCT1502GA,GCT1502HI,GCT1502ID,GCT1502IL,GCT1502IN,GCT1502IA,GCT1502KS,GCT1502KY,GCT1502LA,GCT1502ME
2006-01-01,26.6,29.7,23.3,28.9,21.7,24.0,28.6,20.0,20.3,25.8
2007-01-01,27.1,29.2,24.5,29.5,22.1,24.3,28.8,20.0,20.4,26.7
2008-01-01,27.5,29.1,24.0,29.9,22.9,24.3,29.6,19.7,20.3,25.4
2009-01-01,27.5,29.6,23.9,30.6,22.5,25.1,29.5,21.0,21.4,26.9
2010-01-01,27.3,29.5,24.4,30.8,22.7,24.9,29.8,20.5,21.4,26.8
2011-01-01,27.6,29.1,25.2,31.0,23.0,25.8,30.1,21.1,21.1,28.4
2012-01-01,28.2,30.1,25.5,31.6,23.4,26.3,30.4,21.8,22.0,28.0
2013-01-01,28.3,31.2,26.2,32.1,23.8,26.4,31.1,22.6,22.5,28.2
2014-01-01,29.1,31.0,25.0,32.8,24.7,27.7,31.5,22.2,22.9,29.4
2015-01-01,29.9,31.4,26.0,32.9,24.9,26.8,31.7,23.3,23.2,30.1
2016-01-01,30.5,31.9,27.6,34.0,25.6,28.4,32.8,23.4,23.4,30.1
2017-01-01,30.9,32.9,26.8,34.4,26.8,28.9,33.7,24.0,23.8,32.1
2018-01-01,31.9,33.5,27.7,35.1,27.1,29.0,33.8,24.8,24.3,31.5
2019-01-01,32.5,33.6,28.7,35.8,26.9,29.3,34.0,25.1,25.0,33.2
2020-01-01,34.8,35.5,30.9,37.6,28.9,29.5,35.1,27.4,27.2,33.5
2021-01-01,34.6,35.3,30.7,37.1,28.9,30.5,35.4,27.0,26.4,36.0
2022-01-01,34.7,35.4,32.3,37.7,29.6,32.3,35.6,27.9,27.1,36.1
2023-01-01,35.4,37.0,32.1,38.3,30.2,31.5,35.8,27.8,27.0,37.0
2024-01-01,36.3,37.8,33.0,39.2,30.7,32.1,36.0,27.9,27.8,37.1
