observation_date,GCT1502MD,GCT1502MA,GCT1502MI,GCT1502MN,GCT1502MS,GCT1502MO,GCT1502MT,GCT1502NE,GCT1502NV,GCT1502NH
2006-01-01,35.1,37.0,24.5,30.4,18.8,24.3,27.4,26.9,20.8,31.9
2007-01-01,35.2,37.9,24.7,31.0,18.9,24.5,27.0,27.5,21.8,32.5
2008-01-01,35.2,38.1,24.7,31.5,19.4,25.0,27.1,27.1,21.9,33.3
2009-01-01,35.7,38.2,24.6,31.5,19.6,25.2,27.4,27.4,21.8,32.0
2010-01-01,36.1,39.0,25.2,31.8,19.5,25.6,28.8,28.6,21.7,32.8
2011-01-01,36.9,39.1,25.6,32.4,19.8,26.1,28.2,27.9,22.5,33.4
2012-01-01,36.9,39.3,26.0,33.2,20.7,26.4,29.4,29.0,22.4,34.6
2013-01-01,37.4,40.3,26.9,33.5,20.4,27.0,29.0,29.4,22.5,34.6
2014-01-01,38.2,41.2,27.4,34.3,21.1,27.5,29.3,29.5,23.1,35.0
2015-01-01,38.8,41.5,27.8,34.7,20.8,27.8,30.6,30.2,23.6,35.7
2016-01-01,39.3,42.7,28.3,34.8,21.8,28.5,31.0,31.4,23.5,36.6
2017-01-01,39.7,43.4,29.1,36.1,21.9,29.1,32.3,31.7,24.9,36.9
2018-01-01,40.8,44.5,29.6,36.7,23.2,29.5,31.7,32.4,24.9,36.8
2019-01-01,40.9,45.0,30.0,37.3,22.3,30.2,33.6,33.2,25.7,37.6
2020-01-01,43.1,46.9,32.1,37.9,24.5,31.9,34.6,33.3,28.0,40.2
2021-01-01,42.5,46.6,31.7,38.9,24.8,31.7,34.8,34.4,27.6,40.2
2022-01-01,43.8,46.6,32.1,39.1,24.8,32.2,34.6,34.7,27.0,41.3
2023-01-01,43.7,47.8,32.7,40.0,25.5,33.2,34.6,35.3,28.7,40.7
2024-01-01,44.7,48.3,33.3,40.0,27.0,33.5,36.3,35.4,28.5,41.5
