observation_date,GCT1502NJ,GCT1502NM,GCT1502NY,GCT1502NC,GCT1502ND,GCT1502OH,GCT1502OK,GCT1502OR,GCT1502PA,GCT1502RI
2006-01-01,33.4,25.3,31.2,24.8,25.6,23.0,22.1,27.5,25.4,29.6
2007-01-01,33.9,24.8,31.7,25.6,25.7,24.1,22.8,28.3,25.8,29.8
2008-01-01,34.4,24.7,31.9,26.1,26.9,24.1,22.2,28.1,26.3,30.0
2009-01-01,34.5,25.3,32.4,26.5,25.8,24.1,22.7,29.2,26.4,30.5
2010-01-01,35.4,25.0,32.5,26.5,27.6,24.6,22.9,28.8,27.1,30.2
2011-01-01,35.3,25.6,32.9,26.9,26.3,24.7,23.8,29.3,27.0,31.1
2012-01-01,36.2,26.1,33.4,27.4,27.9,25.2,23.8,29.9,27.8,31.4
2013-01-01,36.6,26.4,34.1,28.4,27.1,26.1,23.8,30.7,28.7,32.4
2014-01-01,37.4,26.4,34.5,28.7,27.4,26.6,24.2,30.8,29.0,30.4
2015-01-01,37.6,26.5,35.0,29.4,29.1,26.8,24.6,32.2,29.7,32.7
2016-01-01,38.6,27.2,35.7,30.4,29.6,27.5,25.2,32.7,30.8,34.1
2017-01-01,39.7,27.1,36.0,31.3,30.7,28.0,25.5,33.7,31.4,33.5
2018-01-01,40.8,27.7,37.2,31.9,29.7,29.0,25.6,34.0,31.8,34.4
2019-01-01,41.2,27.7,37.8,32.3,30.4,29.3,26.2,34.5,32.3,34.8
2020-01-01,43.1,30.1,39.5,34.8,31.8,30.6,27.0,36.3,34.0,38.0
2021-01-01,43.1,30.1,39.9,34.9,31.7,30.7,27.9,36.3,34.5,36.5
2022-01-01,43.5,30.5,40.0,35.9,31.8,32.0,28.5,36.3,35.1,39.6
2023-01-01,43.8,31.6,40.6,36.8,33.6,32.0,28.7,37.7,35.3,39.0
2024-01-01,44.5,31.8,41.2,37.1,34.0,32.4,29.3,37.8,36.4,39.0
