observation_date,GCT1502SC,GCT1502SD,GCT1502TN,GCT1502TX,GCT1502UT,GCT1502VT,GCT1502VA,GCT1502WA,GCT1502WV,GCT1502WI,GCT1502WY
2006-01-01,22.7,24.8,21.7,24.7,28.6,32.4,32.7,30.5,16.5,25.1,22.7
2007-01-01,23.5,25.0,21.8,25.2,28.7,33.6,33.6,30.3,17.3,25.4,23.4
2008-01-01,23.7,25.1,22.9,25.3,29.1,32.1,33.7,30.7,17.1,25.7,23.6
2009-01-01,24.3,25.1,23.0,25.5,28.5,33.1,34.0,31.0,17.3,25.7,23.8
2010-01-01,24.5,26.3,23.1,25.9,29.3,33.6,34.2,31.1,17.5,26.3,24.1
2011-01-01,24.1,26.3,23.6,26.4,29.7,35.4,35.1,31.9,18.5,26.5,24.7
2012-01-01,25.1,26.3,24.3,26.7,30.7,35.8,35.5,31.7,18.6,27.1,24.7
2013-01-01,26.1,26.6,24.8,27.5,31.3,35.7,36.1,32.7,18.9,27.7,26.6
2014-01-01,26.3,27.8,25.3,27.8,31.1,34.9,36.7,33.1,19.2,28.4,26.6
2015-01-01,26.8,27.5,25.7,28.4,31.8,36.9,37.0,34.2,19.6,28.4,26.2
2016-01-01,27.2,28.9,26.1,28.9,32.6,36.4,38.1,35.1,20.8,29.5,27.1
2017-01-01,28.0,28.1,27.3,29.6,34.6,38.3,38.7,35.5,20.2,30.4,27.6
2018-01-01,28.3,29.2,27.5,30.3,34.9,38.7,39.3,36.7,21.3,30.0,26.9
2019-01-01,29.6,29.7,28.7,30.8,34.8,38.7,39.6,37.0,21.1,31.3,29.1
2020-01-01,31.7,28.4,30.7,33.2,36.9,42.1,42.0,38.4,23.1,31.8,28.2
2021-01-01,31.5,31.7,30.5,33.1,36.8,44.4,41.8,39.0,24.1,32.5,29.2
2022-01-01,32.6,31.6,31.1,33.9,37.9,44.2,42.2,39.5,24.8,33.2,29.6
2023-01-01,32.9,33.3,31.7,34.2,38.4,43.7,42.4,40.5,24.0,33.8,30.4
2024-01-01,33.3,34.2,32.4,35.2,39.1,45.1,43.3,41.0,24.4,34.6,32.3
