GISJOIN,STATE,STATEFP,STATENH,B18AA115,B18AA115M,B18AA125,B18AA125M,B18AA135,B18AA135M,B18AA145,B18AA145M,B18AA155,B18AA155M,B18AA165,B18AA165M,B18AA175,B18AA175M,B18AA185,B18AA185M,B18AA195,B18AA195M,B18AA205,B18AA205M,B18AA215,B18AA215M,B18AA225,B18AA225M,B18AA235,B18AA235M,B18AA245,B18AA245M,B18AB115,B18AB115M,B18AB125,B18AB125M,B18AB135,B18AB135M,B18AB145,B18AB145M,B18AB155,B18AB155M,B18AB165,B18AB165M,B18AB175,B18AB175M,B18AB185,B18AB185M,B18AB195,B18AB195M,B18AB205,B18AB205M,B18AB215,B18AB215M,B18AB225,B18AB225M,B18AB235,B18AB235M,B18AB245,B18AB245M,B18AC115,B18AC115M,B18AC125,B18AC125M,B18AC135,B18AC135M,B18AC145,B18AC145M,B18AC155,B18AC155M,B18AC165,B18AC165M,B18AC175,B18AC175M,B18AC185,B18AC185M,B18AC195,B18AC195M,B18AC205,B18AC205M,B18AC215,B18AC215M,B18AC225,B18AC225M,B18AC235,B18AC235M,B18AC245,B18AC245M,B18AD115,B18AD115M,B18AD125,B18AD125M,B18AD135,B18AD135M,B18AD145,B18AD145M,B18AD155,B18AD155M,B18AD165,B18AD165M,B18AD175,B18AD175M,B18AD185,B18AD185M,B18AD195,B18AD195M,B18AD205,B18AD205M,B18AD215,B18AD215M,B18AD225,B18AD225M,B18AD235,B18AD235M,B18AD245,B18AD245M,B18AE115,B18AE115M,B18AE125,B18AE125M,B18AE135,B18AE135M,B18AE145,B18AE145M,B18AE155,B18AE155M,B18AE165,B18AE165M,B18AE175,B18AE175M,B18AE185,B18AE185M,B18AE195,B18AE195M,B18AE205,B18AE205M,B18AE215,B18AE215M,B18AE225,B18AE225M,B18AE235,B18AE235M,B18AE245,B18AE245M
"G010","Alabama","01","010",3307557,2948,3321318,2989,3326188,3379,3327891,3110,3325464,2653,3325037,3152,3317702,3366,3317453,3345,3320247,3020,3302834,3712,3338590,3980,3329012,3832,3303370,3439,3284260,4017,1244112,1911,1256097,2058,1262152,1952,1269808,2377,1276544,2499,1282053,2466,1287167,2157,1293186,2745,1299048,2738,1301319,3060,1324233,3335,1326341,3804,1318507,3965,1311062,3846,26399,1439,26166,1187,25278,1181,25181,1098,23850,1026,23919,1369,25098,1253,25576,1335,25565,1231,24764,1203,21661,1391,21122,1564,22491,1399,23557,1733,103683,3090,106906,3124,113514,3398,118370,3413,123116,3362,124743,3623,131970,3718,136846,3879,139170,3370,144947,3700,157876,4242,165985,4938,181835,4558,197330,5130,65673,2286,66839,2372,72145,2683,76428,2711,81646,2273,85412,2868,88834,2722,91619,3331,92220,2835,119322,3836,155315,4493,185632,4998,228050,5374,270559,5379
"G020","Alaska","02","020",472504,1247,477985,1108,481638,1000,484195,1094,484250,1236,483518,1218,481971,1468,478834,1368,476015,1779,466961,1562,458520,1719,450472,1711,445545,2053,438178,1702,23426,766,24219,796,25033,719,25148,720,25022,803,24443,787,23702,789,24129,834,24205,833,23894,1015,23721,820,23395,906,22774,1107,22071,1269,97628,1803,98976,1510,101273,1475,102743,1424,101313,1735,103574,1522,104995,1588,106660,1515,109751,1660,107298,1643,107531,1922,104957,1788,101226,1961,99576,1950,51741,1259,53167,1340,55615,1445,57693,1481,61035,1500,62980,1643,65184,1536,66432,1750,66432,1889,70005,2046,72233,1930,73270,1997,74622,2328,75991,2107,55404,1875,56792,2152,56757,1726,58521,1748,61755,2190,62340,2363,62713,2101,62461,1816,60665,2426,68832,2443,73946,2800,82727,2779,89804,2872,99890,3359
"G040","Arizona","04","040",4987541,11355,5085954,9399,5131739,10075,5174082,10125,5210335,10167,5235158,10338,5277661,9610,5364141,9871,5444453,12269,5292498,11690,4985729,10875,4781702,11855,4593653,11338,4353879,10131,252127,2574,262284,2713,270027,2633,274380,2840,281576,2672,287110,2622,292831,2472,305259,2794,317462,3182,325105,4367,318827,4448,327077,4147,336931,4701,339563,4381,280986,2504,283805,2247,286953,2469,290780,2884,294721,2084,296732,2571,300182,3060,309580,3307,317414,3669,311014,3370,300862,3623,297590,4524,296794,4688,294139,4088,644409,9577,598955,7621,599719,9397,621742,8743,643451,9443,686998,9726,701364,8595,714822,8329,707933,10127,745850,11667,738764,11043,804119,10931,860040,12049,949272,11832,172310,5291,179981,4923,191265,5257,200532,6290,211845,4480,222579,4547,237908,5737,252883,5372,263037,6107,499597,10837,735021,11378,961794,13232,1180757,13657,1441985,13656
"G050","Arkansas","05","050",2271277,2961,2285577,3080,2295446,3204,2306073,3058,2307849,3220,2307136,3114,2302141,3304,2302874,2783,2301044,3155,2269959,4094,2227020,4549,2193348,5230,2148886,6684,2108596,6705,449283,1413,453062,1432,454903,1390,458136,1600,459748,1380,460638,1800,459969,1706,460970,1946,459542,1941,457840,1962,458086,2316,456693,2289,452127,2301,448673,2489,17239,1027,17390,998,17945,1095,18337,1081,18409,1149,18697,1137,19476,1088,20037,1190,20434,1200,19146,1158,17459,1112,16840,1020,16893,1362,17036,1212,103846,3105,104239,3217,106768,3056,105252,2856,109665,3174,115922,3239,124536,3286,130938,3583,137813,3543,144948,3691,144641,3691,148312,3582,151220,3800,159903,3979,54283,2008,56104,2007,58307,2058,59238,1917,62537,2157,66079,2158,71822,2359,75852,2749,80537,2773,119980,3823,159103,4959,203476,5743,263525,7558,315183,6926
"G060","California","06","060",22860341,31901,23252553,29024,23467167,25133,23650913,27619,23747013,29085,23680584,25774,23607242,32279,23529068,26419,23453222,32004,22053721,34243,20553732,35545,18943660,30822,17248779,32393,15604753,26299,2252129,7273,2254160,6724,2255372,5667,2262323,6283,2265387,6484,2261835,5684,2263222,6142,2267875,8045,2274108,7427,2250962,7807,2233258,8611,2202587,9304,2173343,9676,2134516,9996,287712,5269,291505,5711,286397,5366,287360,6860,287028,6335,285512,5874,292018,6309,296475,5495,303998,6578,311629,6466,360607,8270,394188,8220,445219,10584,498657,9269,10109131,39349,9979999,39696,10022886,34528,10168151,35772,10387139,36107,10639116,34684,10985651,38883,11173115,35919,11329505,38903,11607695,35760,12072539,36265,12488666,37182,12965199,40389,13512653,41286,1459887,23266,1546851,23079,1627359,20184,1698173,22403,1734897,20243,1787159,21484,1834714,22155,1882227,23736,1922664,25591,3122016,30556,4235217,31554,5327003,32386,6410245,34732,7536798,39883
"G080","Colorado","08","080",4167044,7114,4243753,7451,4301096,7230,4364911,7363,4446095,6344,4517058,5925,4576201,6227,4655584,5852,4712574,6392,4634305,7323,4507448,9599,4393409,7884,4268784,8424,4133760,7967,195640,1933,201424,2561,203755,2252,209062,1875,213787,2269,219349,2311,221155,2337,227938,2446,233647,2659,235692,2805,234065,3088,233712,2900,232985,3419,237409,3927,48201,1967,49099,2164,49177,1968,49917,1706,50008,2126,50160,2033,51406,2116,54483,1913,54847,2221,53671,2058,53143,2176,57022,2874,58576,2952,61616,3094,395390,6737,381749,7408,390266,6970,393484,6860,385536,5882,388993,6019,398848,5488,395808,5668,403557,6268,424029,5772,450450,7237,476671,7281,511894,7921,556176,8369,159786,3298,166828,4429,175035,4148,180206,4362,183480,5072,183735,4275,188909,4365,197328,4702,205724,4667,337229,6691,478070,8049,609976,8620,738535,8835,873228,8558
"G090","Connecticut","09","090",2796198,4615,2802217,4834,2792554,5501,2789105,4592,2778362,5260,2768080,4629,2757064,5474,2734880,5407,2714031,5704,2649994,6052,2595884,6140,2522166,6682,2431342,5405,2361298,5609,347941,2516,355660,2388,361668,2640,365871,2458,370501,2888,372696,2688,376240,2518,378262,2718,383416,3374,382161,3651,389290,3778,385407,3664,384753,3765,384165,3876,8104,926,8531,969,8770,984,8036,814,8908,783,9399,1144,9385,867,9698,1118,9955,905,9079,1107,8714,1010,9043,1059,9569,1152,11578,1260,323825,5284,318087,4937,326458,5578,330244,4637,333532,4923,331407,4836,341135,5551,345234,5749,348672,5880,356668,6083,384175,7111,406216,6388,429504,6757,455730,7461,82104,2638,87718,3320,94111,2617,98797,3271,101919,2876,106988,2912,110654,3017,113430,3456,119000,4973,172647,5838,227267,5513,288485,7344,343180,7352,411737,6751
"G100","Delaware","10","100",630804,1740,634259,1951,635474,2167,639354,1962,642623,1952,647002,1911,652170,1798,654905,2245,658237,1765,652587,2742,645409,2690,634244,2984,621799,2832,611821,2308,188519,1122,192629,1420,194964,1415,198028,1208,200481,1327,203027,1298,206290,1405,209892,1374,212302,1643,212795,1917,215745,1814,218266,2327,220645,2397,223830,2156,3109,453,2877,373,3010,423,3134,461,3140,418,3494,422,3482,471,3455,484,3729,533,3560,334,3064,444,3309,703,3744,1075,4012,1126,48989,1727,49450,1832,51932,2123,52608,1808,54944,2033,55341,2085,55530,1953,55234,1993,55901,1738,61170,2603,68162,2294,73686,2706,82800,2909,91351,2958,19435,1352,20916,1498,23066,1461,23936,1670,25266,1451,25831,1493,26260,1432,26009,1486,27079,1895,37567,2214,49512,2358,64130,3017,76884,3576,90177,3621
"G110","District of Columbia","11","110",231122,1899,239413,1628,248141,1668,254955,2011,260325,1535,266035,1740,273471,1971,280469,1909,285857,1829,288306,1872,276373,1660,265633,2124,262549,1466,258050,1318,308516,871,309263,877,310530,1167,314138,1150,316447,1266,318598,1439,321062,1247,321317,1354,320811,1445,318631,1785,305109,2006,297101,1999,290772,2264,286997,2136,1779,326,2143,365,1990,315,2072,407,2154,604,2174,753,1757,465,1993,506,2091,501,2438,395,1984,468,2209,510,2044,458,2528,604,41179,2006,42404,1684,44243,1961,46979,1958,51231,1895,53957,1852,56808,2178,60576,2218,62479,2188,62854,2562,60831,2395,58366,2323,60181,2891,68068,2849,11359,765,12536,856,14467,946,15592,1264,17327,1017,18245,1081,19293,1277,20143,1273,21445,1418,29745,2238,38857,2141,47278,2412,56533,2787,65651,2830
"G120","Florida","12","120",14270053,11456,14438364,13090,14568521,10462,14747196,12051,14934702,11160,15130748,12461,15343997,14002,15529098,12322,15702256,12602,15199588,16723,14449017,20614,13807410,22830,13136701,19262,12529014,21577,2946899,6667,3005551,7359,3056152,6445,3114841,6863,3171108,7647,3216994,7692,3270863,7591,3316376,7779,3359031,8106,3381061,9399,3358469,9653,3355708,10029,3363769,10255,3382877,11603,58192,2534,58119,2868,58390,2655,59121,2895,54569,2023,52904,1881,56730,2379,58118,2307,59320,2957,55655,2182,54466,3100,59197,3502,66779,2740,77288,3778,1030759,10368,973215,12237,977638,10009,987235,11441,1013311,11273,1038437,11482,1092034,11917,1152207,11687,1209008,12540,1303603,14264,1476085,16090,1668747,17295,1863840,18182,2087073,17940,382884,8207,409903,8914,430455,8574,453399,9152,472082,9024,495368,9693,514823,9516,542340,11178,572021,11130,1277017,13341,2001725,24237,2743467,25622,3497792,25218,4339825,26024
